param_value,comparison,accuracy_diff_mean,accuracy_diff_std,accuracy_wins,macro_f1_diff_mean,macro_f1_diff_std,macro_f1_wins,bear_f1_diff_mean,bear_f1_diff_std,bear_f1_wins,bull_f1_diff_mean,bull_f1_diff_std,bull_f1_wins,experiment
default,PELT vs GMM,-0.018662838392124674,0.2732900776867741,0.4,-0.03449661662005043,0.22726539042381588,0.4,-0.015261749418260992,0.1692915010286761,0.5,-0.053731483821839864,0.3622767620322035,0.4,Baseline
default,PELT vs HMM,-0.03547990155865463,0.22516158354041865,0.4,-0.052120996437272374,0.19907404425375153,0.3,-0.023686212840227983,0.1726085494836952,0.3,-0.08055578003431674,0.29953931811007206,0.4,Baseline
0.01,PELT vs GMM,-0.008818703855619359,0.2593127304641066,0.5,-0.0009654308417678837,0.23647640040735987,0.5,0.06097178460843894,0.1669425968397053,0.6,-0.06290264629197462,0.37205645247986213,0.5,Volatility Gap
0.01,PELT vs HMM,-0.0604593929450369,0.1702527423207484,0.4,-0.0513447398273011,0.1675821633728117,0.3,0.025289367426932358,0.15050960005690742,0.6,-0.12797884708153456,0.2269490361359657,0.4,Volatility Gap
0.014,PELT vs GMM,0.039868744872846605,0.21304916405400165,0.5,0.0014500899389722848,0.1679165029830255,0.4,-0.018153298727666748,0.14146660465670752,0.6,0.021053478605611298,0.33961836154306474,0.5,Volatility Gap
0.014,PELT vs HMM,-0.0673092698933552,0.2611331708685233,0.3,-0.10040806151990836,0.2291049846612477,0.2,-0.1138865775343878,0.21349941250503202,0.4,-0.0869295455054289,0.345930449874146,0.3,Volatility Gap
0.018,PELT vs GMM,-0.11763740771123869,0.20105955301323167,0.2,-0.14108176327142716,0.15991558716464188,0.1,-0.1338818153318203,0.21510530518769264,0.3,-0.1482817112110341,0.2980613275595346,0.2,Volatility Gap
0.018,PELT vs HMM,-0.06333059885151764,0.23977291599683415,0.3,-0.07013996008350629,0.2082433799826912,0.3,-0.01765551894932389,0.15974352993478155,0.4,-0.12262440121768878,0.2852637968385248,0.3,Volatility Gap
0.022,PELT vs GMM,-0.018662838392124674,0.2732900776867741,0.4,-0.03449661662005043,0.22726539042381588,0.4,-0.015261749418260992,0.1692915010286761,0.5,-0.053731483821839864,0.3622767620322035,0.4,Volatility Gap
0.022,PELT vs HMM,-0.03547990155865463,0.22516158354041865,0.4,-0.052120996437272374,0.19907404425375153,0.3,-0.023686212840227983,0.1726085494836952,0.3,-0.08055578003431674,0.29953931811007206,0.4,Volatility Gap
0.03,PELT vs GMM,0.02953240360951599,0.2962211217687596,0.5,-0.012874089612658563,0.2169880790924022,0.5,-0.02297467161403491,0.1518227158661845,0.5,-0.0027735076112821886,0.38841700391124706,0.5,Volatility Gap
0.03,PELT vs HMM,0.020139458572600476,0.24031569189776367,0.5,-0.027549079468880532,0.18673918134889014,0.4,-0.04230269606545751,0.15000286530886553,0.3,-0.01279546287230352,0.32574723729799054,0.5,Volatility Gap
0.5,PELT vs GMM,-0.09585726004922068,0.24527177316797966,0.5,-0.13063294421151114,0.16867113384646387,0.3,-0.11352225471676076,0.24894681012209016,0.1,-0.1477436337062616,0.3121770753856909,0.5,Regime Persistence
0.5,PELT vs HMM,-0.12493847415914687,0.31826314096166386,0.5,-0.12972103272869245,0.17489743291215018,0.3,-0.08845238863026095,0.19967283850860676,0.1,-0.17098967682712402,0.3694002675327287,0.5,Regime Persistence
0.7,PELT vs GMM,-0.06185397867104181,0.314330178625077,0.3,-0.10199980579566367,0.19555776812665243,0.3,-0.07675570572220915,0.19926116424392298,0.2,-0.12724390586911827,0.3612116054103814,0.4,Regime Persistence
0.7,PELT vs HMM,-0.0645611156685808,0.3639054410512017,0.4,-0.09432817749601147,0.23248674867978597,0.4,-0.06372633052574257,0.19623748335878846,0.3,-0.12493002446628036,0.4115151184633135,0.5,Regime Persistence
0.9,PELT vs GMM,-0.0011484823625923096,0.13781907984167663,0.4,-0.06440376784770614,0.11440408639499704,0.3,-0.09074558384004323,0.18952972662820547,0.1,-0.03806195185536905,0.21119757160192587,0.4,Regime Persistence
0.9,PELT vs HMM,0.0748154224774405,0.2507700959233793,0.5,-0.0066702472084235465,0.12242938293123859,0.4,-0.05906734006634996,0.09932582575941008,0.2,0.04572684564950286,0.31653530188629553,0.5,Regime Persistence
0.95,PELT vs GMM,0.042575881870385565,0.19746332211137207,0.3,-0.019415173852863434,0.09098757140458673,0.2,-0.07574279818709521,0.14172670479954028,0.1,0.03691245048136836,0.25029524503369455,0.4,Regime Persistence
