seed,model,accuracy,macro_f1,bear_f1,bull_f1
0,HMM,0.5475799835931091,0.529728749458529,0.4381049414161997,0.6213525575008583
0,GMM,0.6513535684987695,0.6428588662617356,0.5877788554801164,0.6979388770433547
0,Changepoint,0.5668580803937654,0.48698230511716883,0.2845528455284553,0.6894117647058824
1,HMM,0.7038556193601313,0.6972545355853659,0.6525505293551492,0.7419585418155825
1,GMM,0.5418375717801477,0.5417431270623272,0.5483218762636474,0.5351643778610071
1,Changepoint,0.6123872026251025,0.6111593524132606,0.5893089960886571,0.6330097087378641
2,HMM,0.34618539786710417,0.2754005071599045,0.04892601431980907,0.501875
2,GMM,0.1513535684987695,0.13839420761291893,0.03272557269752221,0.24406284252831567
2,Changepoint,0.6632485643970467,0.5495162403653747,0.3231657048639736,0.7758667758667759
3,HMM,0.5365053322395406,0.4629997816866268,0.2643229166666667,0.6616766467065869
3,GMM,0.6648892534864643,0.5754517089070169,0.38059135708870356,0.7703120607253303
3,Changepoint,0.3527481542247744,0.32732103690606745,0.4581043956043956,0.19653767820773932
4,HMM,0.477850697292863,0.46303266590182146,0.37383177570093457,0.5522335561027084
4,GMM,0.4807219031993437,0.46650418982825853,0.37941176470588234,0.5535966149506347
4,Changepoint,0.34331419196062346,0.3200458570880331,0.19426270759939607,0.44582900657667013
5,HMM,0.5237899917965545,0.5202644401519076,0.4791386271870794,0.561390253116736
5,GMM,0.5188679245283019,0.5179738333497111,0.4972138876982426,0.5387337790011797
5,Changepoint,0.8018867924528302,0.6516775063205431,0.4229390681003584,0.8804159445407279
6,HMM,0.7936833470057424,0.7461478064071537,0.6362979031091829,0.8559977097051246
6,GMM,0.7641509433962265,0.7161002747155383,0.5993031358885017,0.8328974135425748
6,Changepoint,0.8400328137817884,0.8313891834570519,0.7932131495227995,0.8695652173913043
7,HMM,0.5853158326497129,0.5800501421375408,0.5330254041570439,0.6270748801180376
7,GMM,0.6222313371616078,0.6051558039282232,0.523045054375971,0.6872665534804754
7,Changepoint,0.583264971287941,0.5781676492927477,0.5317972350230414,0.6245380635624538
8,HMM,0.9085315832649713,0.8847756493468648,0.8324567993989481,0.9370944992947814
8,GMM,0.8605414273995078,0.8346969657085743,0.7693351424694709,0.9000587889476779
8,Changepoint,0.8264971287940935,0.8004378364539775,0.7283236994219653,0.8725519734859898
9,HMM,0.6780147662018048,0.6558282498750603,0.5684442001099506,0.7432122996401701
9,GMM,0.677194421657096,0.6003597521642513,0.42512783053323594,0.7755916737952666
9,Changepoint,0.15627563576702214,0.13757559592382618,0.2645691812656418,0.010582010582010581
