bear_std_return,seed,model,accuracy,macro_f1,bear_f1,bull_f1
0.01,0,HMM,0.7608695652173914,0.6535306814677767,0.4606845513413506,0.8463768115942029
0.01,0,GMM,0.5557834290401968,0.4543869774673435,0.2191780821917808,0.6895958727429062
0.01,0,Changepoint,0.638228055783429,0.6276988730802473,0.5650887573964497,0.6903089887640449
0.01,1,HMM,0.623461853978671,0.6219138482454961,0.5977212971078002,0.646106399383192
0.01,1,GMM,0.6226415094339622,0.6211298134094398,0.5971978984238179,0.6450617283950617
0.01,1,Changepoint,0.5299425758818704,0.5295322513833087,0.5434262948207171,0.5156382079459002
0.01,2,HMM,0.5615258408531584,0.535889050247395,0.4268096514745308,0.6449684490202591
0.01,2,GMM,0.13084495488105005,0.12351184189653579,0.2036828260052612,0.04334085778781038
0.01,2,Changepoint,0.6374077112387203,0.5308272378962035,0.3072100313479624,0.7544444444444445
0.01,3,HMM,0.5012305168170632,0.49706034038164,0.45126353790613716,0.5428571428571428
0.01,3,GMM,0.6804757998359311,0.606857139545075,0.43673174258857556,0.7769825365015746
0.01,3,Changepoint,0.37981952420016407,0.3478243331321153,0.4922766957689725,0.20337197049525815
0.01,4,HMM,0.2428219852337982,0.23637571712556593,0.16621499548328816,0.3065364387678437
0.01,4,GMM,0.2428219852337982,0.23637571712556593,0.16621499548328816,0.3065364387678437
0.01,4,Changepoint,0.391304347826087,0.3840822532901793,0.45077720207253885,0.3173873045078197
0.01,5,HMM,0.5910582444626743,0.5708536877540495,0.4777370350969094,0.6639703404111897
0.01,5,GMM,0.5209187858900738,0.519976804479972,0.49871244635193135,0.5412411626080126
0.01,5,Changepoint,0.6607875307629204,0.6315292290119932,0.5276984580239863,0.73536
0.01,6,HMM,0.8121410992616899,0.7726592702808135,0.6779184247538678,0.8674001158077591
0.01,6,GMM,0.7776866283839212,0.7352584553664521,0.6292749658002736,0.8412419449326304
0.01,6,Changepoint,0.8519278096800657,0.8447849898991502,0.8114882506527415,0.8780817291455589
0.01,7,HMM,0.660377358490566,0.5778407950210801,0.3911764705882353,0.764505119453925
0.01,7,GMM,0.6911402789171452,0.6645000114220445,0.5699600228440891,0.75904
0.01,7,Changepoint,0.5746513535684987,0.5681560141588191,0.5151940158952781,0.6211180124223602
0.01,8,HMM,0.8625922887612797,0.8399495978310607,0.779750164365549,0.9001490312965723
0.01,8,GMM,0.8740771123872026,0.853952695695204,0.7997390737116764,0.9081663176787317
0.01,8,Changepoint,0.8433141919606235,0.8227733730368962,0.7624378109452736,0.883108935128519
0.01,9,HMM,0.6423297785069729,0.6245882000598981,0.5429769392033543,0.706199460916442
0.01,9,GMM,0.645611156685808,0.6109186421518104,0.49473684210526314,0.7271004421983576
0.01,9,Changepoint,0.14643150123051682,0.13000523525285174,0.24954922466642626,0.010461245839277223
0.014,0,HMM,0.6952420016406891,0.6322531148981386,0.4800559832050385,0.7844502465912387
0.014,0,GMM,0.3613617719442166,0.34075872126192,0.2242152466367713,0.45730219588706866
0.014,0,Changepoint,0.549630844954881,0.4669864705896408,0.2571041948579161,0.6768687463213655
0.014,1,HMM,0.7054963084495488,0.6990800239569215,0.6551392891450528,0.7430207587687903
0.014,1,GMM,0.5438884331419196,0.5437775982767905,0.5508885298869144,0.5366666666666666
0.014,1,Changepoint,0.6140278917145201,0.6128758022697685,0.5917570498915401,0.6339945546479969
0.014,2,HMM,0.1579163248564397,0.15394657329205513,0.21190019193857965,0.0959929546455306
0.014,2,GMM,0.15176374077112387,0.1438769466511623,0.22604790419161677,0.06170598911070781
0.014,2,Changepoint,0.632895816242822,0.528543818539897,0.3067389620449264,0.7503486750348675
0.014,3,HMM,0.47990155865463496,0.4730499645448099,0.412962962962963,0.5331369661266568
0.014,3,GMM,0.6632485643970467,0.5753895395445403,0.382242287434161,0.7685367916549196
0.014,3,Changepoint,0.35684987694831827,0.33046237311693943,0.46338124572210815,0.19754350051177072
0.014,4,HMM,0.6837571780147662,0.6734569011119016,0.6154613466334165,0.7314524555903866
0.014,4,GMM,0.2551271534044299,0.24733898414576513,0.17077625570776256,0.3239017125837677
0.014,4,Changepoint,0.3351107465135357,0.3124084073425494,0.187468671679198,0.43734814300590075
0.014,5,HMM,0.5512715340442986,0.5361636827932867,0.45245245245245247,0.6198749131341209
0.014,5,GMM,0.5213289581624282,0.5067603305871089,0.42199108469539376,0.591529576478824
0.014,5,Changepoint,0.7387202625102544,0.42486435480066054,0.0,0.8497287096013211
0.014,6,HMM,0.8088597210828548,0.7683040736266183,0.6713681241184767,0.86524002313476
0.014,6,GMM,0.8593109105824446,0.8521372652164496,0.8195686480799579,0.8847058823529412
0.014,6,Changepoint,0.8506972928630024,0.8436955974966834,0.8106139438085328,0.8767772511848341
0.014,7,HMM,0.6862182116488925,0.6061965653605763,0.42867811799850636,0.7837150127226463
0.014,7,GMM,0.662428219852338,0.6428365323597143,0.5591858596679165,0.7264872050515121
0.014,7,Changepoint,0.5779327317473338,0.5718327003362085,0.5207265952491849,0.622938805423232
0.014,8,HMM,0.8736669401148482,0.8520450345009674,0.795484727755644,0.9086053412462908
0.014,8,GMM,0.881870385561936,0.8623549338184555,0.8105263157894737,0.9141835518474374
0.014,8,Changepoint,0.8482362592288761,0.8280135475127685,0.7690387016229713,0.8869883934025656
0.014,9,HMM,0.6821164889253486,0.6599087606185703,0.5730027548209367,0.7468147664162038
0.014,9,GMM,0.35233798195242,0.3205923282531329,0.17373103087388803,0.46745362563237775
0.014,9,Changepoint,0.1472518457752256,0.13064100749964624,0.2508108108108108,0.010471204188481676
0.018,0,HMM,0.6341263330598852,0.581017335784002,0.4318471337579618,0.7301875378100423
0.018,0,GMM,0.7284659557013946,0.6875762690866293,0.5745501285347043,0.8006024096385542
0.018,0,Changepoint,0.5520918785890074,0.47110849056603776,0.2641509433962264,0.6780660377358491
0.018,1,HMM,0.7042657916324856,0.6977112322124835,0.6531986531986532,0.7422238112263139
0.018,1,GMM,0.5397867104183757,0.5396500888577738,0.5475806451612903,0.5317195325542571
0.018,1,Changepoint,0.6127973748974569,0.6115887201899366,0.5899218071242398,0.6332556332556333
0.018,2,HMM,0.3388022969647252,0.2713050314465409,0.049528301886792456,0.4930817610062893
0.018,2,GMM,0.8642329778506973,0.8451935507448081,0.7909033480732786,0.8994837534163377
0.018,2,Changepoint,0.645611156685808,0.5376738305941846,0.3142857142857143,0.7610619469026548
0.018,3,HMM,0.47908121410992616,0.4719152788551212,0.4103992571959146,0.5334313005143277
0.018,3,GMM,0.6661197703035275,0.5776142796210104,0.3842662632375189,0.770962296004502
0.018,3,Changepoint,0.35397867104183756,0.3282647999629132,0.45969125214408235,0.196838347781744
0.018,4,HMM,0.5176374077112387,0.4594320647439857,0.28205128205128205,0.6368128474366893
0.018,4,GMM,0.45159967186218214,0.3507178721369123,0.0947867298578199,0.6066490144160047
0.018,4,Changepoint,0.33962264150943394,0.3171794978846582,0.1933867735470942,0.4409722222222222
0.018,5,HMM,0.4721082854799016,0.3207021454444135,0.0,0.641404290888827
0.018,5,GMM,0.5303527481542247,0.5298591030757698,0.5146248410343366,0.545093365117203
0.018,5,Changepoint,0.7497949138638228,0.4285044538209095,0.0,0.857008907641819
0.018,6,HMM,0.7981952420016407,0.7526673660873352,0.646551724137931,0.8587830080367393
0.018,6,GMM,0.8494667760459393,0.8410505508584551,0.8044752264251465,0.877625875291764
0.018,6,Changepoint,0.8408531583264971,0.8326427521529502,0.7955742887249737,0.8697112155809268
0.018,7,HMM,0.7370795734208367,0.6431116621445436,0.45998315080033697,0.8262401734887503
0.018,7,GMM,0.6369975389663659,0.6177556210454707,0.5319936541512428,0.7035175879396985
0.018,7,Changepoint,0.5726004922067268,0.566293486811914,0.5139925373134329,0.6185944363103953
0.018,8,HMM,0.8736669401148482,0.8517172195892575,0.7946666666666666,0.9087677725118484
0.018,8,GMM,0.8810500410172273,0.8610981228541543,0.808454425363276,0.9137418203450327
0.018,8,Changepoint,0.8474159146841673,0.8267513295433706,0.7669172932330827,0.8865853658536585
0.018,9,HMM,0.739540607054963,0.7018328613071065,0.5957988542329726,0.8078668683812406
0.018,9,GMM,0.6894995898277276,0.6103147712130148,0.4346527259148618,0.7859768165111677
0.018,9,Changepoint,0.14643150123051682,0.13000523525285174,0.24954922466642626,0.010461245839277223
0.022,0,HMM,0.5475799835931091,0.529728749458529,0.4381049414161997,0.6213525575008583
0.022,0,GMM,0.6513535684987695,0.6428588662617356,0.5877788554801164,0.6979388770433547
0.022,0,Changepoint,0.5668580803937654,0.48698230511716883,0.2845528455284553,0.6894117647058824
0.022,1,HMM,0.7038556193601313,0.6972545355853659,0.6525505293551492,0.7419585418155825
0.022,1,GMM,0.5418375717801477,0.5417431270623272,0.5483218762636474,0.5351643778610071
0.022,1,Changepoint,0.6123872026251025,0.6111593524132606,0.5893089960886571,0.6330097087378641
0.022,2,HMM,0.34618539786710417,0.2754005071599045,0.04892601431980907,0.501875
0.022,2,GMM,0.1513535684987695,0.13839420761291893,0.03272557269752221,0.24406284252831567
0.022,2,Changepoint,0.6632485643970467,0.5495162403653747,0.3231657048639736,0.7758667758667759
0.022,3,HMM,0.5365053322395406,0.4629997816866268,0.2643229166666667,0.6616766467065869
0.022,3,GMM,0.6648892534864643,0.5754517089070169,0.38059135708870356,0.7703120607253303
0.022,3,Changepoint,0.3527481542247744,0.32732103690606745,0.4581043956043956,0.19653767820773932
0.022,4,HMM,0.477850697292863,0.46303266590182146,0.37383177570093457,0.5522335561027084
0.022,4,GMM,0.4807219031993437,0.46650418982825853,0.37941176470588234,0.5535966149506347
0.022,4,Changepoint,0.34331419196062346,0.3200458570880331,0.19426270759939607,0.44582900657667013
0.022,5,HMM,0.5237899917965545,0.5202644401519076,0.4791386271870794,0.561390253116736
0.022,5,GMM,0.5188679245283019,0.5179738333497111,0.4972138876982426,0.5387337790011797
0.022,5,Changepoint,0.8018867924528302,0.6516775063205431,0.4229390681003584,0.8804159445407279
0.022,6,HMM,0.7936833470057424,0.7461478064071537,0.6362979031091829,0.8559977097051246
0.022,6,GMM,0.7641509433962265,0.7161002747155383,0.5993031358885017,0.8328974135425748
0.022,6,Changepoint,0.8400328137817884,0.8313891834570519,0.7932131495227995,0.8695652173913043
0.022,7,HMM,0.5853158326497129,0.5800501421375408,0.5330254041570439,0.6270748801180376
0.022,7,GMM,0.6222313371616078,0.6051558039282232,0.523045054375971,0.6872665534804754
0.022,7,Changepoint,0.583264971287941,0.5781676492927477,0.5317972350230414,0.6245380635624538
0.022,8,HMM,0.9085315832649713,0.8847756493468648,0.8324567993989481,0.9370944992947814
0.022,8,GMM,0.8605414273995078,0.8346969657085743,0.7693351424694709,0.9000587889476779
0.022,8,Changepoint,0.8264971287940935,0.8004378364539775,0.7283236994219653,0.8725519734859898
0.022,9,HMM,0.6780147662018048,0.6558282498750603,0.5684442001099506,0.7432122996401701
0.022,9,GMM,0.677194421657096,0.6003597521642513,0.42512783053323594,0.7755916737952666
0.022,9,Changepoint,0.15627563576702214,0.13757559592382618,0.2645691812656418,0.010582010582010581
0.03,0,HMM,0.33305988515176377,0.3225263986842186,0.2380506091846298,0.40700218818380746
0.03,0,GMM,0.25430680885972107,0.24375368970635908,0.15441860465116278,0.3330887747615554
0.03,0,Changepoint,0.5730106644790812,0.5026493472899526,0.3155818540433925,0.6897168405365127
0.03,1,HMM,0.7038556193601313,0.6972545355853659,0.6525505293551492,0.7419585418155825
0.03,1,GMM,0.5426579163248565,0.5425741091463472,0.5487656819101578,0.5363825363825364
0.03,1,Changepoint,0.6123872026251025,0.6111593524132606,0.5893089960886571,0.6330097087378641
0.03,2,HMM,0.37366694011484825,0.3236482552198064,0.13971830985915493,0.5075782005804579
0.03,2,GMM,0.16283839212469237,0.15343117614683738,0.06419073819348922,0.24267161410018553
0.03,2,Changepoint,0.7301066447908121,0.4220009483167378,0.0,0.8440018966334756
0.03,3,HMM,0.45693191140278916,0.42713766179187995,0.2964930924548353,0.5577822311289246
0.03,3,GMM,0.6579163248564397,0.5700776413275145,0.37574850299401197,0.764406779661017
0.03,3,Changepoint,0.35972108285479903,0.3326536627946839,0.4670536019119153,0.1982537236774525
0.03,4,HMM,0.25430680885972107,0.2542987795645195,0.25674570727718726,0.2518518518518518
0.03,4,GMM,0.4745693191140279,0.45965816576609064,0.36989670437776684,0.5494196271544144
0.03,4,Changepoint,0.32936833470057425,0.24776303609996914,0.0,0.4955260721999383
0.03,5,HMM,0.5254306808859721,0.5145498267912593,0.44187168355041,0.5872279700321085
0.03,5,GMM,0.5004101722723544,0.4984606653897993,0.4671916010498688,0.5297297297297298
0.03,5,Changepoint,0.7986054142739951,0.6295354562574371,0.37926675094816686,0.8798041615667075
0.03,6,HMM,0.765791632485644,0.7079485480169487,0.5779748706577975,0.8379222253761
0.03,6,GMM,0.7592288761279737,0.7097027361178305,0.5897973445143256,0.8296081277213353
0.03,6,Changepoint,0.8125512715340443,0.8024613478532752,0.7578166401695814,0.8471060555369689
0.03,7,HMM,0.6168990976210008,0.6080661107408611,0.5492277992277992,0.666904422253923
0.03,7,GMM,0.6127973748974569,0.5957964426141636,0.5128998968008256,0.6786929884275017
0.03,7,Changepoint,0.5820344544708778,0.5764072360863806,0.5275846082522021,0.625229863920559
0.03,8,HMM,0.8105004101722724,0.7732640859955311,0.6813793103448276,0.8651488616462347
0.03,8,GMM,0.8207547169811321,0.7847592899561298,0.6967383761276891,0.8727802037845706
0.03,8,Changepoint,0.7871205906480722,0.7522192276337827,0.6592252133946159,0.8452132418729495
0.03,9,HMM,0.712059064807219,0.6736905685242256,0.5617977528089888,0.7855833842394624
0.03,9,GMM,0.6730926989335521,0.5974209561813245,0.4228819695872556,0.7719599427753934
0.03,9,Changepoint,0.1689909762100082,0.15004436148033126,0.2769450392576731,0.023143683702989394
